epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0912,3.17967,4.18098,1.66831,0,0,0,0,1.99731,4.06583,1.41403,1.667e-05,1.667e-05,1.667e-05
2,23.2257,2.97748,4.18411,1.62122,0.00109,0.03226,0.00059,6e-05,1.94907,4.04843,1.37392,4.90198e-05,4.90198e-05,4.90198e-05
3,32.7677,2.95465,4.13674,1.54072,0.00168,0.04839,0.00095,0.00018,1.95049,4.01483,1.33806,8.00493e-05,8.00493e-05,8.00493e-05
4,41.9736,2.3225,3.9567,1.35787,0.00677,0.13167,0.00395,0.00148,1.95352,3.94898,1.29113,0.000109759,0.000109759,0.000109759
5,51.413,2.3771,3.89505,1.3169,0.01376,0.23371,0.00887,0.00449,2.02368,3.88426,1.27634,0.000138148,0.000138148,0.000138148
6,61.6008,2.34581,3.79181,1.22636,0.01733,0.28901,0.01226,0.00698,1.98754,3.83027,1.23698,0.000165216,0.000165216,0.000165216
7,72.3095,2.33136,3.68764,1.22175,0.01736,0.28736,0.01318,0.00762,2.03801,3.76584,1.22319,0.000190965,0.000190965,0.000190965
8,81.6621,2.36029,3.55052,1.21695,0.02037,0.34858,0.01651,0.00875,2.0674,3.70395,1.19515,0.000215393,0.000215393,0.000215393
9,91.0427,2.25319,3.34572,1.17182,0.01084,0.1896,0.00762,0.00383,2.09914,3.64491,1.20516,0.000238501,0.000238501,0.000238501
10,100.501,2.36533,3.21052,1.18227,0.01058,0.18367,0.00772,0.00366,2.07915,3.59919,1.20422,0.000260289,0.000260289,0.000260289
11,109.59,2.08987,2.88907,1.12753,0.00984,0.17939,0.01014,0.00512,1.98794,3.53339,1.19051,0.000280756,0.000280756,0.000280756
12,119.123,2.26946,2.7304,1.10332,0.00984,0.17939,0.01014,0.00512,1.98794,3.53339,1.19051,0.000299903,0.000299903,0.000299903
13,128.427,2.10138,2.50075,1.1023,0.02018,0.37327,0.22372,0.10369,1.90796,3.43262,1.17915,0.00031773,0.00031773,0.00031773
14,138.055,2.25101,2.57399,1.20595,0.02384,0.46083,0.31671,0.13675,1.89593,3.31945,1.18564,0.000334237,0.000334237,0.000334237
15,147.957,2.21424,2.35243,1.0989,0.02384,0.46083,0.31671,0.13675,1.89593,3.31945,1.18564,0.000349423,0.000349423,0.000349423
16,157.446,2.13642,2.32699,1.10199,0.0243,0.48552,0.36014,0.15771,1.87274,3.22428,1.1684,0.000363289,0.000363289,0.000363289
17,167.486,2.20196,2.32129,1.09827,0.02243,0.44898,0.34586,0.13164,1.85641,3.16317,1.17931,0.000375835,0.000375835,0.000375835
18,177.229,2.34092,2.38812,1.10676,0.02243,0.44898,0.34586,0.13164,1.85641,3.16317,1.17931,0.000387061,0.000387061,0.000387061
19,187.007,1.91772,2.21814,1.09318,0.02546,0.49144,0.25615,0.09822,1.76422,3.09286,1.16002,0.000396966,0.000396966,0.000396966
20,196.679,1.91299,1.99819,1.0841,0.02546,0.49144,0.25615,0.09822,1.76422,3.09286,1.16002,0.000405551,0.000405551,0.000405551
21,206.492,2.16418,2.08428,1.05667,0.0302,0.57209,0.24076,0.09333,1.74766,3.00394,1.16494,0.000412816,0.000412816,0.000412816
22,216.006,1.99726,2.07047,1.11137,0.0302,0.57209,0.24076,0.09333,1.74766,3.00394,1.16494,0.00041876,0.00041876,0.00041876
23,225.584,2.01478,2.03598,1.10581,0.03209,0.60434,0.32489,0.14837,1.73517,2.88691,1.15929,0.000423385,0.000423385,0.000423385
24,235.16,1.96308,1.84488,1.04423,0.03209,0.60434,0.32489,0.14837,1.73517,2.88691,1.15929,0.000426689,0.000426689,0.000426689
25,244.88,2.06022,1.98255,1.09993,0.03538,0.66294,0.53439,0.23867,1.73922,2.74438,1.1601,0.000428672,0.000428672,0.000428672
26,254.775,1.9512,1.77714,1.07333,0.03538,0.66294,0.53439,0.23867,1.73922,2.74438,1.1601,0.000429336,0.000429336,0.000429336
27,265.074,2.06632,1.75234,1.06425,0.03538,0.66294,0.53439,0.23867,1.73922,2.74438,1.1601,0.000428679,0.000428679,0.000428679
28,275.024,1.85,1.7007,1.09203,0.97302,0.17903,0.54017,0.25008,1.74917,2.57058,1.16859,0.000426702,0.000426702,0.000426702
29,285.043,1.99185,1.60693,1.02978,0.97302,0.17903,0.54017,0.25008,1.74917,2.57058,1.16859,0.000423405,0.000423405,0.000423405
30,295.056,1.96575,1.66661,1.05415,0.97933,0.23667,0.52452,0.2425,1.77215,2.4238,1.177,0.000418787,0.000418787,0.000418787
31,304.986,1.97434,1.62252,1.02598,0.97933,0.23667,0.52452,0.2425,1.77215,2.4238,1.177,0.000412849,0.000412849,0.000412849
32,315.276,1.95946,1.66243,1.06789,0.97933,0.23667,0.52452,0.2425,1.77215,2.4238,1.177,0.000405591,0.000405591,0.000405591
33,325.064,1.88161,1.61471,1.02643,0.98355,0.30001,0.57311,0.25258,1.77233,2.30633,1.16467,0.000397013,0.000397013,0.000397013
34,334.821,1.84061,1.58251,1.08411,0.98355,0.30001,0.57311,0.25258,1.77233,2.30633,1.16467,0.000387114,0.000387114,0.000387114
35,344.44,1.77741,1.43716,0.99483,0.98355,0.30001,0.57311,0.25258,1.77233,2.30633,1.16467,0.000375895,0.000375895,0.000375895
36,354.16,1.79968,1.51935,1.03756,0.86315,0.39073,0.6222,0.27891,1.74085,2.17457,1.13256,0.000363356,0.000363356,0.000363356
37,364.245,1.76106,1.43241,0.9908,0.86315,0.39073,0.6222,0.27891,1.74085,2.17457,1.13256,0.000349497,0.000349497,0.000349497
38,373.977,1.95466,1.57857,1.05711,0.86315,0.39073,0.6222,0.27891,1.74085,2.17457,1.13256,0.000334317,0.000334317,0.000334317
39,384.42,1.89923,1.52843,1.02493,0.80747,0.4733,0.65335,0.29163,1.71397,2.04215,1.12436,0.000317817,0.000317817,0.000317817
40,394.101,1.67706,1.32408,1.00355,0.80747,0.4733,0.65335,0.29163,1.71397,2.04215,1.12436,0.000299997,0.000299997,0.000299997
41,403.691,1.70872,1.54853,1.03006,0.80747,0.4733,0.65335,0.29163,1.71397,2.04215,1.12436,0.000280856,0.000280856,0.000280856
42,418.03,1.65512,1.39718,1.02925,0.79748,0.5474,0.67461,0.32146,1.667,1.85744,1.11911,0.000260395,0.000260395,0.000260395
43,429.023,1.96638,1.84626,1.10106,0.79748,0.5474,0.67461,0.32146,1.667,1.85744,1.11911,0.000238614,0.000238614,0.000238614
44,440.014,1.71302,1.42366,1.0001,0.79748,0.5474,0.67461,0.32146,1.667,1.85744,1.11911,0.000215513,0.000215513,0.000215513
45,450.974,1.73441,1.44718,1.03015,0.79748,0.5474,0.67461,0.32146,1.667,1.85744,1.11911,0.000191092,0.000191092,0.000191092
46,460.598,1.70939,1.4877,1.04476,0.76709,0.59414,0.72762,0.35282,1.64795,1.68585,1.118,0.00016535,0.00016535,0.00016535
47,470.53,1.77647,1.49122,1.07307,0.76709,0.59414,0.72762,0.35282,1.64795,1.68585,1.118,0.000138288,0.000138288,0.000138288
48,479.783,1.73423,1.41268,1.02089,0.76709,0.59414,0.72762,0.35282,1.64795,1.68585,1.118,0.000109905,0.000109905,0.000109905
49,488.987,1.71822,1.38214,1.02917,0.76709,0.59414,0.72762,0.35282,1.64795,1.68585,1.118,8.02027e-05,8.02027e-05,8.02027e-05
50,498.249,1.69382,1.46792,1.01627,0.76803,0.59013,0.7537,0.36786,1.66085,1.58274,1.11976,4.91798e-05,4.91798e-05,4.91798e-05
